,cluster
2205,6
2206,0
2207,7
2208,6
2209,13
2210,4
2211,11
2212,7
2213,9
2214,11
2215,7
2216,7
2217,4
2218,2
2219,6
2220,2
2221,4
2222,5
2223,8
2224,8
2225,11
2226,1
2227,12
2228,9
2229,0
2230,7
2231,6
2232,7
2233,0
2234,4
2235,9
2236,4
2237,0
2238,4
2239,2
2240,4
2241,4
2242,13
2243,6
2244,6
2245,6
2246,0
2247,6
2248,2
2249,13
2250,7
2251,4
2252,0
2253,4
2254,11
2255,4
2256,2
2257,6
2258,10
2259,4
2260,8
2261,0
2262,4
2263,2
2264,0
2265,2
2266,6
2267,13
2268,3
2269,7
2270,2
2271,13
2272,8
2273,7
2274,6
2275,7
2276,5
2277,6
2278,0
2279,4
2280,13
2281,2
2282,8
2283,5
2284,9
2285,1
2286,0
2287,11
2288,0
2289,4
2290,4
2291,9
2292,4
2293,4
2294,6
2295,13
2296,10
2297,6
2298,9
2299,9
2300,4
2301,12
2302,7
2303,5
2304,11
2305,9
2306,5
2307,7
2308,2
2309,2
2310,10
2311,6
2312,12
2313,0
2314,6
2315,6
2316,7
2317,6
2318,4
2319,9
2320,8
2321,4
2322,0
2323,0
2324,4
2325,8
2326,9
2327,0
2328,0
2329,8
2330,5
2331,2
2332,4
2333,9
2334,4
2335,6
2336,7
2337,9
2338,7
2339,4
2340,2
2341,4
2342,4
2343,5
2344,9
2345,7
2346,4
2347,9
2348,8
2349,4
2350,7
2351,0
2352,0
2353,5
2354,3
2355,0
2356,3
2357,12
2358,5
2359,12
2360,0
2361,6
2362,13
2363,0
2364,0
2365,3
2366,2
2367,2
2368,7
2369,6
2370,7
2371,8
2372,1
2373,6
2374,4
2375,2
2376,0
2377,1
2378,7
2379,2
2380,3
2381,6
2382,7
2383,2
2384,2
2385,13
2386,8
2387,8
2388,0
2389,0
2390,6
2391,11
2392,0
2393,6
2394,0
2395,4
2396,13
2397,5
2398,3
2399,7
2400,4
2401,6
2402,2
2403,0
2404,6
2405,0
2406,2
2407,9
2408,4
2409,2
2410,3
2411,0
2412,0
2413,4
2414,0
2415,7
2416,9
2417,4
2418,12
2419,8
2420,6
2421,12
2422,7
2423,0
2424,5
2425,8
2426,0
2427,6
2428,7
2429,4
2430,2
2431,6
2432,7
2433,4
2434,3
2435,2
2436,10
2437,0
2438,8
2439,13
2440,0
2441,11
2442,6
2443,4
2444,1
2445,7
2446,6
2447,4
2448,4
2449,5
2450,4
2451,13
2452,5
2453,11
2454,7
2455,0
2456,0
2457,11
2458,0
2459,9
2460,4
2461,8
2462,4
2463,5
2464,12
2465,11
2466,12
2467,13
2468,5
2469,7
2470,5
2471,5
2472,4
2473,8
2474,0
2475,0
2476,2
2477,10
2478,2
2479,7
2480,13
2481,0
2482,4
2483,1
2484,9
2485,13
2486,2
2487,4
2488,10
2489,4
2490,6
2491,2
2492,7
2493,13
2494,2
2495,9
2496,5
2497,1
2498,13
2499,4
2500,8
2501,11
2502,0
2503,13
2504,4
2505,6
2506,11
2507,0
2508,9
2509,3
2510,2
2511,13
2512,7
2513,6
2514,9
2515,2
2516,0
2517,3
2518,7
2519,6
2520,2
2521,3
2522,5
2523,13
2524,12
2525,6
2526,4
2527,7
2528,6
2529,11
2530,6
2531,7
2532,0
2533,12
2534,0
2535,4
2536,2
2537,13
2538,7
2539,13
2540,4
2541,7
2542,3
2543,6
2544,5
2545,7
2546,13
2547,9
2548,2
2549,2
2550,2
2551,5
2552,8
2553,9
2554,4
2555,2
2556,8
2557,0
2558,4
2559,2
2560,9
2561,8
2562,4
2563,4
2564,4
2565,6
2566,5
2567,6
2568,13
2569,11
2570,7
2571,11
2572,11
2573,8
2574,4
2575,4
2576,4
2577,2
2578,4
2579,2
2580,7
2581,4
2582,3
2583,4
2584,8
2585,1
2586,2
2587,2
2588,13
2589,13
2590,13
2591,0
2592,7
2593,10
2594,5
2595,8
2596,0
2597,11
2598,6
2599,7
2600,13
2601,13
2602,5
2603,8
2604,9
2605,4
2606,7
2607,13
2608,0
2609,6
2610,1
2611,4
2612,5
2613,6
2614,6
2615,9
2616,9
2617,2
2618,2
2619,13
2620,11
2621,0
2622,2
2623,13
2624,7
2625,0
2626,7
2627,0
2628,2
2629,0
2630,4
2631,6
2632,7
2633,6
2634,2
2635,6
2636,6
2637,7
2638,0
2639,7
2640,4
2641,4
2642,4
2643,10
2644,1
2645,10
2646,12
2647,9
2648,2
2649,0
2650,5
2651,4
2652,12
2653,0
2654,7
2655,2
2656,13
2657,11
2658,0
2659,7
2660,4
2661,4
2662,7
2663,3
2664,11
2665,1
2666,1
2667,11
2668,12
2669,4
2670,4
2671,4
2672,7
2673,0
2674,4
2675,11
2676,0
2677,4
2678,8
2679,7
2680,11
2681,4
2682,8
2683,4
2684,2
2685,13
2686,7
2687,8
2688,2
2689,8
2690,6
2691,0
2692,2
2693,5
2694,4
2695,9
2696,6
2697,13
2698,7
2699,4
2700,4
2701,12
2702,0
2703,9
2704,9
2705,4
2706,6
2707,8
2708,7
2709,5
2710,3
2711,5
2712,11
2713,2
2714,4
2715,0
2716,11
2717,2
2718,4
2719,5
2720,4
2721,0
2722,0
2723,4
2724,0
2725,8
2726,4
2727,0
2728,13
2729,1
2730,7
2731,8
2732,7
2733,6
2734,2
2735,4
2736,0
2737,0
2738,12
2739,0
2740,6
2741,8
2742,0
2743,4
2744,4
2745,13
2746,0
2747,7
2748,6
2749,6
2750,10
2751,7
2752,5
2753,6
2754,2
2755,9
2756,4
2757,3
2758,6
2759,9
2760,4
2761,0
2762,13
2763,13
2764,6
2765,8
2766,6
2767,8
2768,10
2769,12
2770,8
2771,5
2772,6
2773,0
2774,3
2775,4
2776,4
2777,6
2778,0
2779,2
2780,4
2781,8
2782,2
2783,4
2784,6
2785,8
2786,8
2787,13
2788,4
2789,7
2790,4
2791,2
2792,0
2793,4
2794,7
2795,7
2796,4
2797,9
2798,13
2799,8
2800,2
2801,4
2802,4
2803,4
2804,5
2805,11
2806,10
2807,13
2808,7
2809,4
2810,2
2811,2
2812,13
2813,0
2814,11
2815,4
2816,6
2817,10
2818,9
2819,4
2820,13
2821,7
2822,13
2823,13
2824,2
2825,5
2826,2
2827,7
2828,12
2829,6
2830,6
2831,3
2832,5
2833,6
2834,9
2835,5
2836,13
2837,2
2838,4
2839,7
2840,4
2841,11
2842,10
2843,12
2844,0
2845,4
2846,12
2847,1
2848,5
2849,4
2850,13
2851,7
2852,5
2853,4
2854,7
2855,13
2856,11
2857,2
2858,3
2859,9
2860,12
2861,13
2862,12
2863,3
2864,4
2865,13
2866,2
2867,7
2868,3
2869,4
2870,0
2871,10
2872,0
2873,3
2874,0
2875,4
2876,0
2877,0
2878,6
2879,5
2880,0
2881,0
2882,4
2883,9
2884,0
2885,8
2886,0
2887,2
2888,4
2889,4
2890,7
2891,4
2892,5
2893,2
2894,8
2895,5
2896,9
2897,8
2898,13
2899,4
2900,0
2901,4
2902,4
2903,0
2904,8
2905,8
2906,0
2907,4
2908,6
2909,9
2910,13
2911,0
2912,6
2913,3
2914,11
2915,6
2916,2
2917,8
2918,6
2919,3
2920,3
2921,11
2922,13
2923,8
2924,5
2925,0
2926,11
2927,9
2928,2
2929,13
2930,9
2931,9
2932,5
2933,13
2934,13
2935,11
2936,7
2937,6
2938,5
2939,9
2940,7
2941,0
2942,13
2943,5
2944,0
2945,9
2946,6
2947,6
2948,2
2949,7
2950,5
2951,12
2952,13
2953,6
2954,1
2955,9
2956,8
2957,5
2958,6
2959,4
2960,4
2961,4
2962,5
2963,9
2964,8
2965,6
2966,4
2967,2
2968,4
2969,4
2970,11
2971,4
2972,4
2973,8
2974,2
2975,4
2976,4
2977,7
2978,2
2979,4
2980,6
2981,8
2982,13
2983,4
2984,8
2985,7
2986,4
2987,6
2988,7
2989,2
2990,8
2991,0
2992,9
2993,13
2994,4
